Configuration	SmartWatch
STM32CubeMX 	4.10.0
Date	10/15/2015
MCU	STM32L476RGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
I2C2	I2C	I2C2_SCL	PB13
I2C2	I2C	I2C2_SDA	PB14
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0/OSC_IN
RCC	BYPASS Clock Source	RCC_OSC32_IN	PC14/OSC32_IN
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SPI3	Transmit Only Master	SPI3_MOSI	PC12
SPI3	Transmit Only Master	SPI3_SCK	PC10
SYS	Serial Wire Debug (SWD)	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire Debug (SWD)	SYS_JTMS-SWDIO	PA13
USB_OTG_FS	Device_Only	USB_OTG_FS_DM	PA11
USB_OTG_FS	Device_Only	USB_OTG_FS_DP	PA12



Pin Nb	PINs	FUNCTIONs	LABELs
3	PC14/OSC32_IN	RCC_OSC32_IN	OSC32_IN
5	PH0/OSC_IN	RCC_OSC_IN	OSC_IN
21	PA5	SPI1_SCK	BT_SCK
22	PA6	SPI1_MISO	BT_MISO
23	PA7	SPI1_MOSI	BT_MOSI
24	PC4	GPIO_Input	BT_INT
26	PB0	GPIO_Input	BTN_DN
27	PB1	GPIO_Input	BTN_SEL
28	PB2	GPIO_Input	BTN_UP
34	PB13	I2C2_SCL	SCL
35	PB14	I2C2_SDA	SDA
39	PC8	GPIO_Input	G_INT
40	PC9	GPIO_Input	IMU_INT
41	PA8	GPIO_Output	IMU_NRESET
43	PA10	GPIO_Input	BTN_BACK
44	PA11	USB_OTG_FS_DM	USB_D-
45	PA12	USB_OTG_FS_DP	USB_D+
46	PA13	SYS_JTMS-SWDIO	SWDIO
49	PA14	SYS_JTCK-SWCLK	SWCLK
50	PA15	GPIO_Input	!ALRT
51	PC10	SPI3_SCK	OLED_SCK
53	PC12	SPI3_MOSI	OLED_MOSI
55	PB3	GPIO_Output	RED
56	PB4	GPIO_Output	YELLOW
57	PB5	GPIO_Output	GREEN
61	PB8	GPIO_Output	OLED_RES
62	PB9	GPIO_Output	OLED_DC
